Priority,WorkOrder,capable_resource_groups,idle_minutes,ETA,DueDate,Delay,DelayWithoutIdleTime,TimeDifference
319,WO116929-20,9,4624,2024-02-06 12:30:00.000,2024-04-24 00:00:00.000,-78 days +12:30:00,-81 days +07:26:00,3 days 05:04:00
319,WO116930-10,2|1,163,2024-01-23 15:59:00.000,2024-04-24 00:00:00.000,-92 days +15:59:00,-92 days +13:16:00,0 days 02:43:00
319,WO116931-10,2|1,376,2024-01-24 12:53:00.000,2024-04-24 00:00:00.000,-91 days +12:53:00,-91 days +06:37:00,0 days 06:16:00
319,WO116932-10,2|1,556,2024-01-25 06:52:00.000,2024-04-24 00:00:00.000,-90 days +06:52:00,-91 days +21:36:00,0 days 09:16:00
319,WO116933-10,2|1,496,2024-01-24 14:14:00.000,2024-04-24 00:00:00.000,-91 days +14:14:00,-91 days +05:58:00,0 days 08:16:00
319,WO116934-10,2|1,589,2024-01-24 14:22:00.000,2024-04-24 00:00:00.000,-91 days +14:22:00,-91 days +04:33:00,0 days 09:49:00
319,WO116935-10,16|17,35,2024-01-26 07:18:00.000,2024-04-24 00:00:00.000,-89 days +07:18:00,-89 days +06:43:00,0 days 00:35:00
319,WO116935-20,9,3574,2024-02-07 07:45:00.000,2024-04-24 00:00:00.000,-77 days +07:45:00,-80 days +20:11:00,2 days 11:34:00
319,WO116936-10,16|17,171,2023-12-21 11:24:00.000,2024-04-24 00:00:00.000,-125 days +11:24:00,-125 days +08:33:00,0 days 02:51:00
319,WO116936-20,9,16195,2024-02-07 08:45:00.000,2024-04-24 00:00:00.000,-77 days +08:45:00,-88 days +02:50:00,11 days 05:55:00
319,WO116937-10,84,21372,2023-12-20 10:25:00.000,2024-04-24 00:00:00.000,-126 days +10:25:00,-141 days +14:13:00,14 days 20:12:00
319,WO116937-20,83,0,2023-12-20 14:25:00.000,2024-04-24 00:00:00.000,-126 days +14:25:00,-126 days +14:25:00,0 days 00:00:00
319,WO116938-10,84,21342,2023-12-20 09:55:00.000,2024-04-24 00:00:00.000,-126 days +09:55:00,-141 days +14:13:00,14 days 19:42:00
319,WO116938-20,3,11789,2024-01-23 14:00:00.000,2024-04-24 00:00:00.000,-92 days +14:00:00,-100 days +09:31:00,8 days 04:29:00
319,WO116939-10,36,5586,2023-12-12 11:30:00.000,,,,
319,WO116940-10,16|17,631,2024-01-29 06:50:00.000,2024-04-24 00:00:00.000,-86 days +06:50:00,-87 days +20:19:00,0 days 10:31:00
319,WO116940-20,9,3587,2024-02-07 09:45:00.000,2024-04-24 00:00:00.000,-77 days +09:45:00,-80 days +21:58:00,2 days 11:47:00
319,WO116941-10,16|17,0,2023-12-21 14:34:00.000,2024-04-24 00:00:00.000,-125 days +14:34:00,-125 days +14:34:00,0 days 00:00:00
319,WO116941-20,9,16125,2024-02-07 10:45:00.000,2024-04-24 00:00:00.000,-77 days +10:45:00,-88 days +06:00:00,11 days 04:45:00
319,WO116942-10,84,21432,2023-12-20 11:25:00.000,2024-04-24 00:00:00.000,-126 days +11:25:00,-141 days +14:13:00,14 days 21:12:00
319,WO116942-20,83,180,2023-12-21 09:40:00.000,2024-04-24 00:00:00.000,-125 days +09:40:00,-125 days +06:40:00,0 days 03:00:00
311,WO116943-10,69,25645,2024-02-07 14:33:00.000,2024-04-16 00:00:00.000,-69 days +14:33:00,-87 days +19:08:00,17 days 19:25:00
311,WO116943-20,77,8671,2024-03-12 11:45:00.000,2024-04-16 00:00:00.000,-35 days +11:45:00,-41 days +11:14:00,6 days 00:31:00
